number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,state
0,0.264365091919899,2026-03-25 17:17:11.110740,2026-03-25 17:18:48.548283,0 days 00:01:37.437543,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,0.9262672811059908,COMPLETE
1,0.28602972626686096,2026-03-25 17:18:48.549288,2026-03-25 17:19:08.169184,0 days 00:00:19.619896,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,0.9377880184331797,COMPLETE
2,0.16937640060981116,2026-03-25 17:19:08.170192,2026-03-25 17:19:22.124836,0 days 00:00:13.954644,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,0.9423963133640553,COMPLETE
3,0.27735327929258347,2026-03-25 17:19:22.126836,2026-03-25 17:19:33.124984,0 days 00:00:10.998148,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,0.9170506912442397,COMPLETE
4,0.3132256865501404,2026-03-25 17:19:33.125985,2026-03-25 17:19:51.994219,0 days 00:00:18.868234,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,0.9285714285714286,COMPLETE
5,0.5608740821480751,2026-03-25 17:19:51.995218,2026-03-25 17:20:04.838436,0 days 00:00:12.843218,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,,PRUNED
6,0.4396413844078779,2026-03-25 17:20:04.838797,2026-03-25 17:20:11.303515,0 days 00:00:06.464718,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,,PRUNED
7,0.18210279941558838,2026-03-25 17:20:11.304516,2026-03-25 17:20:44.037749,0 days 00:00:32.733233,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,0.9562211981566819,COMPLETE
8,0.2161111980676651,2026-03-25 17:20:44.038259,2026-03-25 17:20:54.564971,0 days 00:00:10.526712,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,0.9585253456221199,COMPLETE
9,0.16764236241579056,2026-03-25 17:20:54.566975,2026-03-25 17:21:02.706064,0 days 00:00:08.139089,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,0.9769585253456221,COMPLETE
10,0.4703463315963745,2026-03-25 17:21:02.707065,2026-03-25 17:21:04.208387,0 days 00:00:01.501322,64,False,0.4921467580828037,96,0.0005126065261429245,2,3.7669826973855905e-05,,PRUNED
11,0.5756241679191589,2026-03-25 17:21:04.209393,2026-03-25 17:21:05.817290,0 days 00:00:01.607897,32,False,0.4736329972469432,128,0.0005860782216960012,3,1.0298220241121993e-05,,PRUNED
12,0.2605993722875913,2026-03-25 17:21:05.818293,2026-03-25 17:21:16.322373,0 days 00:00:10.504080,16,False,0.4612012640576854,128,0.0011355311414388252,3,2.945202373859496e-05,0.9285714285714285,COMPLETE
13,0.40565359592437744,2026-03-25 17:21:16.323374,2026-03-25 17:21:18.038930,0 days 00:00:01.715556,32,False,0.3130612935272402,128,0.00195657618701131,3,6.694653933471384e-05,,PRUNED
14,0.44592902064323425,2026-03-25 17:21:18.039933,2026-03-25 17:21:19.507311,0 days 00:00:01.467378,64,True,0.5375920406844779,64,0.0006263812661926302,2,2.0304971815787816e-05,,PRUNED
15,0.23991639415423074,2026-03-25 17:21:19.508317,2026-03-25 17:21:29.942824,0 days 00:00:10.434507,16,False,0.4124496121405841,128,0.0010201291216514164,3,1.0312216150674056e-05,0.9354838709677419,COMPLETE
16,0.5376683175563812,2026-03-25 17:21:29.943824,2026-03-25 17:21:31.553835,0 days 00:00:01.610011,32,True,0.5220004837500986,96,0.0014304283490010276,1,2.4346596102796976e-05,,PRUNED
17,0.6345174014568329,2026-03-25 17:21:31.554834,2026-03-25 17:21:33.185462,0 days 00:00:01.630628,32,False,0.437069918266322,128,0.0016484216296754435,2,6.214242046880795e-05,,PRUNED
18,0.6171107230087122,2026-03-25 17:21:33.186966,2026-03-25 17:21:35.558038,0 days 00:00:02.371072,16,True,0.3433561139162167,96,0.001221395023302078,3,1.547358555526476e-05,,PRUNED
19,0.43277207016944885,2026-03-25 17:21:35.558038,2026-03-25 17:21:36.944954,0 days 00:00:01.386916,64,False,0.5157339103953823,64,0.0009250383849435212,1,4.1172109897010666e-05,,PRUNED
20,0.25540214280287427,2026-03-25 17:21:36.944954,2026-03-25 17:22:26.597018,0 days 00:00:49.652064,16,True,0.4416634198004796,256,0.0006840441061967724,2,7.906988641239077e-05,0.9423963133640553,COMPLETE
21,0.385862797498703,2026-03-25 17:22:26.597018,2026-03-25 17:22:33.128290,0 days 00:00:06.531272,64,True,0.2243018652148721,192,0.0008903336971281163,2,0.0009638593881835832,,PRUNED
22,0.3311631679534912,2026-03-25 17:22:33.128290,2026-03-25 17:22:39.628388,0 days 00:00:06.500098,64,True,0.2778466547140124,192,0.0009615260572223517,2,0.00019568359626505823,,PRUNED
23,0.37904828786849976,2026-03-25 17:22:39.629391,2026-03-25 17:22:48.933563,0 days 00:00:09.304172,64,True,0.20464838465102123,192,0.000813700511969987,3,0.0004755258531422745,,PRUNED
24,0.2200966626405716,2026-03-25 17:22:48.934562,2026-03-25 17:23:06.504242,0 days 00:00:17.569680,64,True,0.2727439814504258,192,0.0010222590589498977,1,0.00017662748229782521,0.9654377880184333,COMPLETE
25,0.4730772376060486,2026-03-25 17:23:06.505243,2026-03-25 17:23:08.268321,0 days 00:00:01.763078,64,True,0.3258279164161758,128,0.0012462379445371539,2,4.0000965674822336e-05,,PRUNED
26,0.3750000596046448,2026-03-25 17:23:08.269439,2026-03-25 17:23:09.875395,0 days 00:00:01.605956,32,False,0.3823764468673738,96,0.0006706506563376816,1,1.384478540948663e-05,,PRUNED
27,0.2601773714025815,2026-03-25 17:23:09.876902,2026-03-25 17:24:12.146077,0 days 00:01:02.269175,16,True,0.2555724328204007,192,0.0008256365830283896,3,0.00010917735969966323,0.9516129032258065,COMPLETE
28,0.5129318237304688,2026-03-25 17:24:12.147079,2026-03-25 17:24:13.565294,0 days 00:00:01.418215,64,False,0.5587574401018951,96,0.0017115435705730372,2,2.6968174964142377e-05,,PRUNED
29,0.21588846296072006,2026-03-25 17:24:13.565294,2026-03-25 17:24:21.329423,0 days 00:00:07.764129,32,False,0.30260674553691363,128,0.0005455546734092881,1,0.0003206055108524361,0.9262672811059908,COMPLETE
30,0.5588884502649307,2026-03-25 17:24:21.330422,2026-03-25 17:24:23.035721,0 days 00:00:01.705299,32,True,0.3420993330501824,96,0.001100315948953137,2,0.0002463052239525748,,PRUNED
31,0.22409668564796448,2026-03-25 17:24:23.037225,2026-03-25 17:24:30.820844,0 days 00:00:07.783619,32,False,0.30660540901628336,128,0.0005385599281133825,1,0.0002990042110130859,0.967741935483871,COMPLETE
32,0.3819400370121002,2026-03-25 17:24:30.821349,2026-03-25 17:24:32.419406,0 days 00:00:01.598057,32,False,0.24767031031148662,128,0.0005961995555882759,1,0.00046844952188614597,,PRUNED
33,0.2309051752090454,2026-03-25 17:24:32.420907,2026-03-25 17:24:40.183202,0 days 00:00:07.762295,32,False,0.2981425775485393,128,0.0007354905913853,1,0.000781778816698911,0.935483870967742,COMPLETE
34,0.22964602708816528,2026-03-25 17:24:40.184198,2026-03-25 17:24:47.914506,0 days 00:00:07.730308,32,False,0.41579984547557913,128,0.0006682812072473234,1,0.0001604471891797142,0.9423963133640554,COMPLETE
35,0.2717997804284096,2026-03-25 17:24:47.915509,2026-03-25 17:25:00.886018,0 days 00:00:12.970509,32,False,0.3372257373817597,256,0.0008673886916278888,1,0.00038661108231387867,0.9331797235023043,COMPLETE
36,0.40565871447324753,2026-03-25 17:25:00.887529,2026-03-25 17:25:04.790882,0 days 00:00:03.903353,32,True,0.5888147017937628,192,0.0007631219261580166,1,0.00022416505697508792,,PRUNED
37,0.2814539894461632,2026-03-25 17:25:04.791883,2026-03-25 17:25:14.644504,0 days 00:00:09.852621,16,True,0.3612558190443757,64,0.0013046483828786258,1,9.41864732214706e-05,0.9654377880184332,COMPLETE
38,0.4047567943731944,2026-03-25 17:25:14.645503,2026-03-25 17:25:16.562241,0 days 00:00:01.916738,16,False,0.39170005868081503,96,0.0005484086127238181,1,0.00014088648709908793,,PRUNED
39,0.3336099535226822,2026-03-25 17:25:16.563242,2026-03-25 17:25:22.523431,0 days 00:00:05.960189,32,True,0.2528343590122678,256,0.0005025753044730618,2,0.00032503358484963694,,PRUNED
40,1.3574003782123327,2026-03-25 17:25:22.524432,2026-03-25 17:25:24.490868,0 days 00:00:01.966436,16,False,0.4912048178960887,128,0.0007303753035769607,3,0.0006375031281744272,,PRUNED
