number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
29,0.6004495024681091,2025-11-15 19:28:52.378723,2025-11-15 19:28:58.009195,0 days 00:00:05.630472,32,False,0.4340331727550287,96,0.0008365948643812,1,0.0001957072789033,COMPLETE
10,0.5895465612411499,2025-11-15 19:26:40.296100,2025-11-15 19:26:46.024345,0 days 00:00:05.728245,64,False,0.2062379198633824,192,0.0005126065261429,2,0.0009044366299969,COMPLETE
39,0.5795616507530212,2025-11-15 19:30:18.450131,2025-11-15 19:30:23.412274,0 days 00:00:04.962143,64,True,0.5816273129283626,64,0.0010007564553173,1,0.000115300104868,COMPLETE
2,0.5685575803120931,2025-11-15 19:25:25.161738,2025-11-15 19:25:34.315738,0 days 00:00:09.154000,16,True,0.398070764044508,128,0.0007627211116577,3,1.5679933916722995e-05,COMPLETE
25,0.5685564875602722,2025-11-15 19:28:26.116411,2025-11-15 19:28:31.345116,0 days 00:00:05.228705,64,True,0.5383630770096757,64,0.0008692244233226,2,7.733580728513886e-05,COMPLETE
