number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,user_attrs_seed,state
49,0.6879209131002426,2026-03-12 23:00:52.076451,2026-03-12 23:01:02.778914,0 days 00:00:10.702463,16,False,0.4591280873229045,64,0.0007294800363581,3,9.125056040041196e-05,0.8241935483870968,91,COMPLETE
35,0.6711934804916382,2026-03-12 22:58:41.319093,2026-03-12 22:58:53.256644,0 days 00:00:11.937551,16,True,0.5182244503516222,64,0.0006871323117153,3,0.0001492943662651,0.7870967741935484,77,COMPLETE
39,0.6670158803462982,2026-03-12 22:59:16.619181,2026-03-12 22:59:25.009863,0 days 00:00:08.390682,32,True,0.3798822222895725,128,0.0008333901008739,3,1.2822349413138965e-05,0.8516129032258064,81,COMPLETE
59,0.6491169035434723,2026-03-12 23:02:01.926174,2026-03-12 23:02:11.822392,0 days 00:00:09.896218,32,False,0.4832548751155655,192,0.0005028188835696,3,3.1512045841689134e-05,0.8467741935483871,101,COMPLETE
89,0.6427436023950577,2026-03-12 23:05:41.791219,2026-03-12 23:05:56.753632,0 days 00:00:14.962413,16,False,0.4763290188501654,192,0.0005690763849636,3,5.751933175610863e-05,0.7725806451612904,131,COMPLETE
