number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,user_attrs_seed,state
29,1.1614680588245392,2026-03-11 14:08:55.205647,2026-03-11 14:08:56.343548,0 days 00:00:01.137901,32,False,0.4292434110221871,96,0.0012118315838664,1,0.0001673054730962,,,PRUNED
38,0.9188052229583265,2026-03-11 14:09:50.061035,2026-03-11 14:09:52.304692,0 days 00:00:02.243657,16,False,0.5125172189166103,192,0.0007241893481869,3,3.131007517157357e-05,,,PRUNED
3,0.6882059425115585,2026-03-11 14:06:01.478964,2026-03-11 14:06:10.367711,0 days 00:00:08.888747,16,True,0.5687496940092467,96,0.0019174238140216,2,0.0003550304858128,0.7758064516129033,45.0,COMPLETE
5,0.6837676167488098,2026-03-11 14:06:18.408106,2026-03-11 14:06:36.282750,0 days 00:00:17.874644,16,True,0.2254233401144094,192,0.0008218411404269,3,1.70505392602693e-05,0.7919354838709677,47.0,COMPLETE
76,0.6532665491104126,2026-03-11 14:14:02.912193,2026-03-11 14:14:11.286507,0 days 00:00:08.374314,32,False,0.4188678844181689,192,0.0011203835416498,3,0.0002467117119661,0.7887096774193548,118.0,COMPLETE
