number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,state
0,0.23705720156431198,2026-03-26 22:59:33.512077,2026-03-26 22:59:41.399271,0 days 00:00:07.887194,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,0.9353448275862069,COMPLETE
1,0.24956466257572174,2026-03-26 22:59:41.401275,2026-03-26 22:59:59.631313,0 days 00:00:18.230038,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,0.9633620689655172,COMPLETE
2,0.3823631840447585,2026-03-26 22:59:59.632313,2026-03-26 23:00:11.814301,0 days 00:00:12.181988,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,0.9245689655172413,COMPLETE
3,0.29364850620428723,2026-03-26 23:00:11.815365,2026-03-26 23:00:21.405812,0 days 00:00:09.590447,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,0.8987068965517242,COMPLETE
4,0.2748493403196335,2026-03-26 23:00:21.405812,2026-03-26 23:00:38.666336,0 days 00:00:17.260524,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,0.9439655172413792,COMPLETE
5,0.5507683157920837,2026-03-26 23:00:38.668341,2026-03-26 23:00:48.609018,0 days 00:00:09.940677,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,,PRUNED
6,0.5173338850339254,2026-03-26 23:00:48.609018,2026-03-26 23:00:53.874365,0 days 00:00:05.265347,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,,PRUNED
7,0.35642650723457336,2026-03-26 23:00:53.874365,2026-03-26 23:01:22.534016,0 days 00:00:28.659651,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,0.9310344827586207,COMPLETE
8,0.3276058187087377,2026-03-26 23:01:22.534016,2026-03-26 23:01:31.378546,0 days 00:00:08.844530,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,0.9051724137931034,COMPLETE
9,0.7604957222938538,2026-03-26 23:01:31.378546,2026-03-26 23:01:32.724870,0 days 00:00:01.346324,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,,PRUNED
