number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
97,0.995994120836258,2026-03-07 23:08:11.231964,2026-03-07 23:08:12.672995,0 days 00:00:01.441031,16,False,0.410019446950367,128,0.0013874419688488,3,1.519426231593718e-05,PRUNED
3,0.703767865896225,2026-03-07 22:58:09.667503,2026-03-07 22:58:17.941154,0 days 00:00:08.273651,16,True,0.5687496940092467,96,0.0019174238140216,2,0.0003550304858128,COMPLETE
2,0.6866202279925346,2026-03-07 22:58:00.847699,2026-03-07 22:58:09.666504,0 days 00:00:08.818805,16,True,0.398070764044508,128,0.0007627211116577,3,1.5679933916722995e-05,COMPLETE
79,0.6855598539113998,2026-03-07 23:06:24.999726,2026-03-07 23:06:32.622790,0 days 00:00:07.623064,16,False,0.4817336113658551,128,0.0010607671376432,3,2.6435064250770367e-05,COMPLETE
6,0.6598635762929916,2026-03-07 22:58:42.134966,2026-03-07 22:58:53.814469,0 days 00:00:11.679503,16,False,0.3710164073434198,256,0.0014355166831664,2,0.0001326033192269,COMPLETE
