number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
47,1.3664284646511078,2026-03-04 23:39:51.678564,2026-03-04 23:39:54.575188,0 days 00:00:02.896624,16,False,0.3506911285876728,96,0.0016359988845554,2,1.4710183660485223e-05,PRUNED
14,0.6876344680786133,2026-03-04 23:30:19.127620,2026-03-04 23:30:28.285394,0 days 00:00:09.157774,32,True,0.5443869474272272,64,0.0006625327476592,2,2.814145272515242e-05,COMPLETE
2,0.6707940548658371,2026-03-04 23:26:10.202690,2026-03-04 23:26:24.648154,0 days 00:00:14.445464,16,True,0.398070764044508,128,0.0007627211116577,3,1.5679933916722995e-05,COMPLETE
6,0.6703004091978073,2026-03-04 23:28:01.055300,2026-03-04 23:28:36.935135,0 days 00:00:35.879835,16,False,0.3710164073434198,256,0.0014355166831664,2,0.0001326033192269,COMPLETE
1,0.6328843832015991,2026-03-04 23:25:49.259724,2026-03-04 23:26:10.202690,0 days 00:00:20.942966,32,True,0.4056937753654446,192,0.0007496501097315,1,5.4041038546473305e-05,COMPLETE
