number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
89,1.8965017795562744,2026-03-05 01:17:42.349853,2026-03-05 01:17:44.334583,0 days 00:00:01.984730,16,True,0.5051680725708787,128,0.0005134814158687,3,3.889117075657007e-05,PRUNED
35,1.8095854399725797,2026-03-05 01:09:19.966323,2026-03-05 01:09:21.644066,0 days 00:00:01.677743,16,True,0.3957658267040961,64,0.0005736271473345,1,0.0001166585814869,PRUNED
70,1.542800197377801,2026-03-05 01:14:22.682979,2026-03-05 01:14:26.138162,0 days 00:00:03.455183,16,True,0.2359868384873585,192,0.0006861644841225,3,1.746542486045384e-05,PRUNED
78,1.4614368863403795,2026-03-05 01:15:48.233546,2026-03-05 01:15:50.703719,0 days 00:00:02.470173,32,True,0.2522585769894089,192,0.0006698825429144,3,4.694716497953533e-05,PRUNED
49,1.3534158132970333,2026-03-05 01:10:35.047318,2026-03-05 01:10:36.708170,0 days 00:00:01.660852,16,False,0.4772794962487488,128,0.000772983352516,2,0.000394203188239,PRUNED
