number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,state
0,0.430594801902771,2026-03-26 15:23:32.169071,2026-03-26 15:23:42.003706,0 days 00:00:09.834635,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,0.91875,COMPLETE
1,0.49872760474681854,2026-03-26 15:23:42.003706,2026-03-26 15:24:05.564565,0 days 00:00:23.560859,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,0.8666666666666667,COMPLETE
2,0.2973013718922933,2026-03-26 15:24:05.566313,2026-03-26 15:24:22.487499,0 days 00:00:16.921186,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,0.9104166666666667,COMPLETE
3,0.30540959537029266,2026-03-26 15:24:22.487499,2026-03-26 15:24:35.798704,0 days 00:00:13.311205,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,0.9125,COMPLETE
4,0.47678257524967194,2026-03-26 15:24:35.798704,2026-03-26 15:24:58.588811,0 days 00:00:22.790107,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,0.8645833333333333,COMPLETE
5,0.35688358048597973,2026-03-26 15:24:58.588811,2026-03-26 15:26:16.109816,0 days 00:01:17.521005,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,0.9270833333333334,COMPLETE
6,0.30092325806617737,2026-03-26 15:26:16.110817,2026-03-26 15:26:56.165964,0 days 00:00:40.055147,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,0.9625,COMPLETE
7,0.35647472739219666,2026-03-26 15:26:56.166964,2026-03-26 15:27:35.670826,0 days 00:00:39.503862,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,0.8520833333333332,COMPLETE
8,0.369995653629303,2026-03-26 15:27:35.671825,2026-03-26 15:27:47.858470,0 days 00:00:12.186645,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,0.8791666666666667,COMPLETE
9,0.4529759809374809,2026-03-26 15:27:47.859467,2026-03-26 15:27:57.503210,0 days 00:00:09.643743,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,0.8916666666666666,COMPLETE
10,0.5705767869949341,2026-03-26 15:27:57.504211,2026-03-26 15:27:59.329059,0 days 00:00:01.824848,64,False,0.4778751436886507,128,0.0005126065261429245,3,1.0699098455538697e-05,,PRUNED
11,0.3435894250869751,2026-03-26 15:27:59.330033,2026-03-26 15:28:12.556217,0 days 00:00:13.226184,16,False,0.3737425087025644,128,0.0012921394802672813,3,9.564716175263719e-05,0.9125000000000001,COMPLETE
12,0.37882232169310254,2026-03-26 15:28:12.557216,2026-03-26 15:28:52.575683,0 days 00:00:40.018467,16,False,0.4467710116482187,256,0.0005276845703240477,2,2.8383466643042105e-05,0.9208333333333334,COMPLETE
13,0.4696524192889531,2026-03-26 15:28:52.576680,2026-03-26 15:28:55.715516,0 days 00:00:03.138836,16,False,0.31486472151471134,128,0.0010564615151250837,2,0.0001632552758201316,,PRUNED
14,0.35010039806365967,2026-03-26 15:28:55.716518,2026-03-26 15:30:25.242526,0 days 00:01:29.526008,16,True,0.5138285915721833,256,0.0006263812661926302,3,6.614675287497496e-05,0.8916666666666666,COMPLETE
15,0.3062203725179036,2026-03-26 15:30:25.242526,2026-03-26 15:30:37.410956,0 days 00:00:12.168430,16,False,0.3378745058313897,64,0.0014758077375831085,2,0.0009818247569037453,0.8520833333333333,COMPLETE
16,0.44833433628082275,2026-03-26 15:30:37.411954,2026-03-26 15:30:51.140883,0 days 00:00:13.728929,64,True,0.4234340427150078,128,0.0009818549086410078,3,2.4346596102796932e-05,0.8604166666666667,COMPLETE
17,0.3368740677833557,2026-03-26 15:30:51.141884,2026-03-26 15:31:31.708480,0 days 00:00:40.566596,16,False,0.5123734308940975,256,0.001266713523364037,2,0.00017382944114295625,0.9041666666666667,COMPLETE
18,0.38254687562584877,2026-03-26 15:31:31.709480,2026-03-26 15:31:48.690450,0 days 00:00:16.980970,16,True,0.352371048365569,128,0.00064049325381069,3,1.0490000286324004e-05,0.91875,COMPLETE
19,0.37148264050483704,2026-03-26 15:31:48.691450,2026-03-26 15:32:06.091649,0 days 00:00:17.400199,64,False,0.45270482764702114,256,0.0016279256065451055,2,3.463126538885986e-05,0.86875,COMPLETE
20,0.33328161512811977,2026-03-26 15:32:06.094155,2026-03-26 15:32:21.149181,0 days 00:00:15.055026,16,True,0.3082878263853861,64,0.0009530575909139791,3,9.661413132749503e-05,0.9291666666666667,COMPLETE
21,0.3242814044157664,2026-03-26 15:32:21.149181,2026-03-26 15:32:34.853926,0 days 00:00:13.704745,16,True,0.5518003183552279,96,0.0019661479336863016,2,0.0003935461796991314,0.525,COMPLETE
22,0.39622870087623596,2026-03-26 15:32:34.853926,2026-03-26 15:32:48.436634,0 days 00:00:13.582708,16,True,0.3976549285363452,96,0.001730966319131373,2,0.00022557641130033066,0.9020833333333333,COMPLETE
23,0.37307482461134595,2026-03-26 15:32:48.437634,2026-03-26 15:33:01.754857,0 days 00:00:13.317223,16,True,0.46059013281773264,96,0.0014428650971631289,2,0.0004755258531422745,0.8958333333333334,COMPLETE
24,0.28305646280447644,2026-03-26 15:33:01.754857,2026-03-26 15:33:14.954098,0 days 00:00:13.199241,16,True,0.5038073469357722,96,0.0017572089199604042,2,0.0006255100180008559,0.89375,COMPLETE
25,0.35499483346939087,2026-03-26 15:33:14.954098,2026-03-26 15:34:19.197975,0 days 00:01:04.243877,16,True,0.5057077214772592,256,0.0012462379445371539,2,0.0008693801653136926,0.8999999999999999,COMPLETE
26,0.4030998597542445,2026-03-26 15:34:19.197975,2026-03-26 15:34:33.178159,0 days 00:00:13.980184,16,False,0.41380255105186153,128,0.0013725306114188841,3,1.8379621110561493e-05,0.9416666666666667,COMPLETE
27,0.38655296961466473,2026-03-26 15:34:33.180165,2026-03-26 15:35:38.663879,0 days 00:01:05.483714,16,True,0.3751335827742494,256,0.001743196454016292,2,7.505809968965792e-05,0.8833333333333334,COMPLETE
28,0.3487814962863922,2026-03-26 15:35:38.663879,2026-03-26 15:35:47.376526,0 days 00:00:08.712647,64,False,0.3344932261893132,96,0.0011717108871494636,2,0.000656342838363008,0.8666666666666667,COMPLETE
29,0.9719790890812874,2026-03-26 15:35:47.376526,2026-03-26 15:35:49.190956,0 days 00:00:01.814430,32,False,0.2741609771187933,128,0.0016169202209346996,1,0.0002608908774441286,,PRUNED
30,0.4204522371292114,2026-03-26 15:35:49.191954,2026-03-26 15:36:00.397052,0 days 00:00:11.205098,32,True,0.4885201632396172,96,0.0010927141334465852,3,0.00013818951672120327,0.8750000000000001,COMPLETE
