number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,user_attrs_seed,state
18,0.7157997563481331,2026-03-12 23:26:37.598230,2026-03-12 23:26:54.448929,0 days 00:00:16.850699,16,True,0.352371048365569,128,0.0006404932538106,3,1.0490000286324004e-05,0.8032258064516129,60,COMPLETE
5,0.6877810955047607,2026-03-12 23:19:43.777639,2026-03-12 23:21:01.574534,0 days 00:01:17.796895,16,True,0.2254233401144094,192,0.0008218411404269,3,1.70505392602693e-05,0.8096774193548387,47,COMPLETE
15,0.6829450577497482,2026-03-12 23:25:31.319567,2026-03-12 23:25:43.260815,0 days 00:00:11.941248,16,False,0.3378745058313897,64,0.0014758077375831,2,0.0009818247569037,0.8177419354838709,57,COMPLETE
37,0.681946188211441,2026-03-12 23:31:37.640132,2026-03-12 23:31:47.438360,0 days 00:00:09.798228,32,False,0.4230080488698221,96,0.001346998875242,3,6.541222383238447e-05,0.7870967741935483,79,COMPLETE
89,0.6788694262504578,2026-03-12 23:48:12.322383,2026-03-12 23:48:23.336269,0 days 00:00:11.013886,32,True,0.3975097820369879,96,0.0011315856376134,3,1.894255689720128e-05,0.8064516129032258,131,COMPLETE
