number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,state
0,0.2708202674984932,2026-03-26 15:06:16.396427,2026-03-26 15:06:24.197039,0 days 00:00:07.800612,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,0.9577777777777778,COMPLETE
1,0.3658562935888767,2026-03-26 15:06:24.197039,2026-03-26 15:06:33.510677,0 days 00:00:09.313638,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,0.9577777777777777,COMPLETE
2,0.26595721145470935,2026-03-26 15:06:33.510677,2026-03-26 15:06:45.781050,0 days 00:00:12.270373,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,0.9533333333333334,COMPLETE
3,0.2665087680021922,2026-03-26 15:06:45.782057,2026-03-26 15:06:57.670213,0 days 00:00:11.888156,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,0.908888888888889,COMPLETE
4,0.4176892936229706,2026-03-26 15:06:57.671188,2026-03-26 15:07:08.099366,0 days 00:00:10.428178,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,0.9177777777777778,COMPLETE
5,0.4013025760650635,2026-03-26 15:07:08.102039,2026-03-26 15:07:30.748738,0 days 00:00:22.646699,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,0.9377777777777778,COMPLETE
6,0.30064011613527936,2026-03-26 15:07:30.749741,2026-03-26 15:07:46.426849,0 days 00:00:15.677108,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,0.9155555555555556,COMPLETE
7,0.2454804629087448,2026-03-26 15:07:46.426849,2026-03-26 15:07:55.502344,0 days 00:00:09.075495,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,0.9466666666666665,COMPLETE
8,0.20956798394521078,2026-03-26 15:07:55.502344,2026-03-26 15:08:05.825066,0 days 00:00:10.322722,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,0.9377777777777778,COMPLETE
9,0.3174395076930523,2026-03-26 15:08:05.825066,2026-03-26 15:08:13.308227,0 days 00:00:07.483161,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,0.9377777777777778,COMPLETE
