number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,state
0,0.18469048663973808,2026-03-27 14:14:17.385132,2026-03-27 14:14:24.588111,0 days 00:00:07.202979,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,0.9505376344086022,COMPLETE
1,0.25146807730197906,2026-03-27 14:14:24.588111,2026-03-27 14:14:40.630874,0 days 00:00:16.042763,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,0.9548387096774194,COMPLETE
2,0.20805931091308594,2026-03-27 14:14:40.630874,2026-03-27 14:14:52.133808,0 days 00:00:11.502934,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,0.9397849462365592,COMPLETE
3,0.29148109753926593,2026-03-27 14:14:52.133808,2026-03-27 14:15:01.312862,0 days 00:00:09.179054,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,0.9075268817204302,COMPLETE
4,0.2649359926581383,2026-03-27 14:15:01.314444,2026-03-27 14:15:17.111450,0 days 00:00:15.797006,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,0.9440860215053763,COMPLETE
5,0.2454894781112671,2026-03-27 14:15:17.111450,2026-03-27 14:16:07.832488,0 days 00:00:50.721038,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,0.9311827956989248,COMPLETE
6,0.38196707765261334,2026-03-27 14:16:07.832488,2026-03-27 14:16:12.757957,0 days 00:00:04.925469,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,,PRUNED
7,0.3165450394153595,2026-03-27 14:16:12.757957,2026-03-27 14:16:40.596558,0 days 00:00:27.838601,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,0.956989247311828,COMPLETE
8,0.27011023710171383,2026-03-27 14:16:40.597580,2026-03-27 14:16:48.926904,0 days 00:00:08.329324,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,0.9505376344086021,COMPLETE
9,0.29880501329898834,2026-03-27 14:16:48.936374,2026-03-27 14:16:56.053890,0 days 00:00:07.117516,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,0.9290322580645163,COMPLETE
10,0.4197031557559967,2026-03-27 14:16:56.053890,2026-03-27 14:16:57.249724,0 days 00:00:01.195834,64,False,0.30217738350607953,96,0.0005126065261429245,2,0.0008896597012019069,,PRUNED
11,0.43640491366386414,2026-03-27 14:16:57.249724,2026-03-27 14:16:58.629780,0 days 00:00:01.380056,32,False,0.48102496011366835,128,0.0010767400462034472,3,1.0832109219569162e-05,,PRUNED
12,0.2487042248249054,2026-03-27 14:16:58.629780,2026-03-27 14:17:07.620551,0 days 00:00:08.990771,16,False,0.4612012640576854,128,0.0011355311414388252,3,2.7019174827601137e-05,0.9075268817204301,COMPLETE
13,0.8381548225879669,2026-03-27 14:17:07.620551,2026-03-27 14:17:09.055174,0 days 00:00:01.434623,32,False,0.3122839583629904,128,0.0005850676174094601,3,0.00016765681158521082,,PRUNED
14,0.3754503130912781,2026-03-27 14:17:09.055174,2026-03-27 14:17:10.272361,0 days 00:00:01.217187,64,True,0.22192651757417703,64,0.0012726174149822636,2,5.411412713366941e-05,,PRUNED
15,0.6067635416984558,2026-03-27 14:17:10.272779,2026-03-27 14:17:11.907519,0 days 00:00:01.634740,16,False,0.4276562302399197,128,0.0006464091293436123,3,0.00027776167163901796,,PRUNED
16,0.19283104687929153,2026-03-27 14:17:11.907519,2026-03-27 14:17:18.851147,0 days 00:00:06.943628,32,True,0.341637618554232,96,0.0009307091235649705,1,3.1247733809665485e-05,0.978494623655914,COMPLETE
17,0.2564695179462433,2026-03-27 14:17:18.853525,2026-03-27 14:17:25.635610,0 days 00:00:06.782085,32,False,0.3202985504248018,96,0.0011944397861421417,1,3.499948425768777e-05,0.9376344086021505,COMPLETE
18,0.28676244616508484,2026-03-27 14:17:25.635610,2026-03-27 14:17:32.571823,0 days 00:00:06.936213,32,True,0.2664911471846297,96,0.0009329362443143562,1,8.353698251086598e-05,0.9483870967741936,COMPLETE
19,0.19312543608248234,2026-03-27 14:17:32.571823,2026-03-27 14:17:39.357049,0 days 00:00:06.785226,32,False,0.344850080306645,96,0.001004176883639614,1,8.013050846812663e-05,0.9634408602150538,COMPLETE
20,0.4033353738486767,2026-03-27 14:17:39.357049,2026-03-27 14:17:40.898743,0 days 00:00:01.541694,32,True,0.27251630055666864,96,0.001507058608830588,1,0.00021011758957324443,,PRUNED
21,0.30648405849933624,2026-03-27 14:17:40.908260,2026-03-27 14:17:47.687403,0 days 00:00:06.779143,32,False,0.3455569952270795,96,0.0010265420922913053,1,6.42900218497509e-05,0.924731182795699,COMPLETE
22,0.20879733562469482,2026-03-27 14:17:47.697370,2026-03-27 14:17:54.543245,0 days 00:00:06.845875,32,False,0.3434121073776754,96,0.0009607056342794387,1,8.078320352814233e-05,0.9376344086021506,COMPLETE
23,0.29404887184500694,2026-03-27 14:17:54.543245,2026-03-27 14:18:01.332154,0 days 00:00:06.788909,32,False,0.20464838465102123,96,0.0012784577718938299,1,2.40642317309275e-05,0.9225806451612902,COMPLETE
24,0.29850249737501144,2026-03-27 14:18:01.332154,2026-03-27 14:18:08.154544,0 days 00:00:06.822390,32,False,0.35075453005528867,96,0.0008634424751381066,1,0.0004807823951397633,0.9720430107526882,COMPLETE
25,0.4039512500166893,2026-03-27 14:18:08.154544,2026-03-27 14:18:09.465646,0 days 00:00:01.311102,32,False,0.29194900650903177,64,0.0009992296689128183,2,0.00019375885977420646,,PRUNED
26,0.5469070076942444,2026-03-27 14:18:09.465646,2026-03-27 14:18:10.623368,0 days 00:00:01.157722,64,False,0.4988350397643666,96,0.0013528369008246716,1,0.00011950420501247115,,PRUNED
27,0.20004446059465408,2026-03-27 14:18:10.623368,2026-03-27 14:18:28.019709,0 days 00:00:17.396341,32,False,0.2448450201170167,256,0.0011141601752413285,2,3.2683221291441936e-05,0.9483870967741935,COMPLETE
28,0.33727000653743744,2026-03-27 14:18:28.019709,2026-03-27 14:18:35.032116,0 days 00:00:07.012407,32,True,0.42215985977468173,96,0.0016465022300125812,1,8.689416319354395e-05,0.9290322580645161,COMPLETE
29,0.23875958658754826,2026-03-27 14:18:35.032116,2026-03-27 14:18:50.923610,0 days 00:00:15.891494,32,True,0.39114794492952293,192,0.0007322273489665762,1,4.40155059806656e-05,0.956989247311828,COMPLETE
30,0.2389327734708786,2026-03-27 14:18:50.923610,2026-03-27 14:18:57.729349,0 days 00:00:06.805739,32,False,0.3349512950714707,96,0.0011777345960349219,1,6.478706837364933e-05,0.9225806451612903,COMPLETE
31,0.25737372040748596,2026-03-27 14:18:57.729349,2026-03-27 14:19:14.743611,0 days 00:00:17.014262,32,False,0.2624470146623452,256,0.0010707626146864685,2,2.7301503187209587e-05,0.9397849462365592,COMPLETE
32,0.2481013834476471,2026-03-27 14:19:14.743611,2026-03-27 14:19:21.659200,0 days 00:00:06.915589,32,False,0.23216785331346845,96,0.0008050705800718232,2,1.8125305966798894e-05,0.9440860215053762,COMPLETE
33,0.2515183687210083,2026-03-27 14:19:21.659200,2026-03-27 14:19:38.930570,0 days 00:00:17.271370,32,False,0.28299346275274956,256,0.0009519492431247259,2,1.1466114609259171e-05,0.9591397849462365,COMPLETE
34,0.30863068997859955,2026-03-27 14:19:38.930570,2026-03-27 14:19:50.333176,0 days 00:00:11.402606,32,False,0.31792548086176764,256,0.001127983163045465,1,3.406681139488075e-05,0.9419354838709677,COMPLETE
35,0.2579263597726822,2026-03-27 14:19:50.333176,2026-03-27 14:20:06.370124,0 days 00:00:16.036948,32,True,0.25521253966557483,256,0.0006872398435661342,1,1.975392682071098e-05,0.9612903225806452,COMPLETE
36,0.23101409524679184,2026-03-27 14:20:06.370124,2026-03-27 14:20:22.374195,0 days 00:00:16.004071,32,True,0.38349617053075297,256,0.0008883474943743693,1,3.801892200157486e-05,0.9741935483870968,COMPLETE
