number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
90,0.6631721630692482,2025-11-27 23:52:40.923238,2025-11-27 23:52:51.942225,0 days 00:00:11.018987,16,False,0.2545278411748798,96,0.0006692033886143,2,0.0005504025986678,COMPLETE
24,0.655656635761261,2025-11-27 23:27:40.307685,2025-11-27 23:28:35.200039,0 days 00:00:54.892354,64,True,0.323819408991232,192,0.0007057228104311,3,8.130275272168438e-05,COMPLETE
67,0.6487894356250763,2025-11-27 23:45:56.478913,2025-11-27 23:46:05.941368,0 days 00:00:09.462455,32,False,0.2104190727506215,96,0.000773263952071,2,0.0005994160825484,COMPLETE
29,0.6433983147144318,2025-11-27 23:30:45.509455,2025-11-27 23:30:54.599850,0 days 00:00:09.090395,32,False,0.3052943792176129,96,0.0007211329556286,1,0.0002790157449417,COMPLETE
6,0.6417273133993149,2025-11-27 23:18:07.969957,2025-11-27 23:18:47.606470,0 days 00:00:39.636513,16,False,0.3710164073434198,256,0.0014355166831664,2,0.0001326033192269,COMPLETE
