number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,user_attrs_seed,state
87,2.085355494171381,2026-03-11 00:00:50.270034,2026-03-11 00:00:55.541002,0 days 00:00:05.270968,16,False,0.4717525354387558,192,0.0007296367464471,2,0.0005375302818812,,,PRUNED
44,2.0088333263993263,2026-03-10 23:50:45.298047,2026-03-10 23:50:47.380929,0 days 00:00:02.082882,16,False,0.3145642425373917,96,0.0018043450819595,3,0.0003215746446248,,,PRUNED
38,1.510988488793373,2026-03-10 23:49:21.725171,2026-03-10 23:49:23.863512,0 days 00:00:02.138341,16,False,0.3990389937051578,96,0.0006952247347192,3,1.1137175720328555e-05,,,PRUNED
69,1.4640582725405693,2026-03-10 23:54:55.757215,2026-03-10 23:54:57.778261,0 days 00:00:02.021046,16,False,0.4392035603101403,96,0.0017556117257881,2,0.0008242703880131,,,PRUNED
49,1.303502343595028,2026-03-10 23:51:34.972656,2026-03-10 23:51:36.986976,0 days 00:00:02.014320,16,False,0.243953406066963,64,0.0008192690890001,2,0.0001456439233206,,,PRUNED
