number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,state
0,0.4579063504934311,2026-03-25 21:22:56.718012,2026-03-25 21:23:06.013991,0 days 00:00:09.295979,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,0.9288793103448275,COMPLETE
1,0.4326992928981781,2026-03-25 21:23:06.015993,2026-03-25 21:23:27.087277,0 days 00:00:21.071284,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,0.9008620689655172,COMPLETE
2,0.37912603219350177,2026-03-25 21:23:27.087277,2026-03-25 21:23:42.112426,0 days 00:00:15.025149,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,0.9288793103448276,COMPLETE
3,0.3003265323738257,2026-03-25 21:23:42.114430,2026-03-25 21:23:54.096265,0 days 00:00:11.981835,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,0.9181034482758621,COMPLETE
4,0.419869989156723,2026-03-25 21:23:54.096265,2026-03-25 21:24:14.379986,0 days 00:00:20.283721,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,0.8900862068965518,COMPLETE
5,0.30542952318986255,2026-03-25 21:24:14.379986,2026-03-25 21:25:23.301710,0 days 00:01:08.921724,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,0.9461206896551724,COMPLETE
6,0.2786866749326388,2026-03-25 21:25:23.304443,2026-03-25 21:25:59.157075,0 days 00:00:35.852632,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,0.9461206896551725,COMPLETE
7,0.33273664116859436,2026-03-25 21:25:59.157075,2026-03-25 21:26:35.713416,0 days 00:00:36.556341,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,0.8943965517241379,COMPLETE
8,0.3546648522218068,2026-03-25 21:26:35.714415,2026-03-25 21:26:46.668327,0 days 00:00:10.953912,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,0.8987068965517241,COMPLETE
9,0.3447827845811844,2026-03-25 21:26:46.668327,2026-03-25 21:26:55.377807,0 days 00:00:08.709480,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,0.9116379310344828,COMPLETE
10,0.3986615538597107,2026-03-25 21:26:55.377807,2026-03-25 21:27:11.509311,0 days 00:00:16.131504,64,False,0.49126804502923016,256,0.0005126065261429245,2,0.00011794741578776494,0.8836206896551725,COMPLETE
11,0.2738506526996692,2026-03-25 21:27:11.509311,2026-03-25 21:27:22.455462,0 days 00:00:10.946151,16,False,0.5002938099850849,96,0.001971947229660495,2,0.0007791470666172773,0.9525862068965517,COMPLETE
12,0.30117299656073254,2026-03-25 21:27:22.455462,2026-03-25 21:27:58.447101,0 days 00:00:35.991639,16,False,0.47924108256914427,256,0.0012955147639770789,2,0.0007760935074375867,0.9224137931034482,COMPLETE
