number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,state
0,0.3680281639099121,2026-03-29 16:33:55.471658,2026-03-29 16:34:02.471730,0 days 00:00:07.000072,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,0.9310344827586207,COMPLETE
1,0.27387237548828125,2026-03-29 16:34:02.473735,2026-03-29 16:34:09.533907,0 days 00:00:07.060172,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,0.9391480730223123,COMPLETE
2,0.32787100474039715,2026-03-29 16:34:09.533907,2026-03-29 16:34:17.866400,0 days 00:00:08.332493,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,0.9533468559837728,COMPLETE
3,0.2869988977909088,2026-03-29 16:34:17.866400,2026-03-29 16:34:25.513026,0 days 00:00:07.646626,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,0.9148073022312374,COMPLETE
4,0.39385542273521423,2026-03-29 16:34:25.513026,2026-03-29 16:34:32.985949,0 days 00:00:07.472923,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,0.9269776876267749,COMPLETE
5,0.3152116785446803,2026-03-29 16:34:32.985949,2026-03-29 16:34:48.315320,0 days 00:00:15.329371,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,0.9127789046653143,COMPLETE
6,0.31837671995162964,2026-03-29 16:34:48.325057,2026-03-29 16:34:59.067397,0 days 00:00:10.742340,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,0.9006085192697768,COMPLETE
7,0.3004124164581299,2026-03-29 16:34:59.067397,2026-03-29 16:35:05.930089,0 days 00:00:06.862692,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,0.947261663286004,COMPLETE
8,0.24898524085680643,2026-03-29 16:35:05.939918,2026-03-29 16:35:14.150987,0 days 00:00:08.211069,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,0.9330628803245437,COMPLETE
9,0.3437993675470352,2026-03-29 16:35:14.151986,2026-03-29 16:35:20.432382,0 days 00:00:06.280396,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,0.9371196754563895,COMPLETE
10,0.5797291994094849,2026-03-29 16:35:20.433381,2026-03-29 16:35:21.466470,0 days 00:00:01.033089,64,False,0.4911632730863661,64,0.0005126065261429245,2,0.0009275780771398699,,PRUNED
11,0.7372611649334431,2026-03-29 16:35:21.468467,2026-03-29 16:35:22.815610,0 days 00:00:01.347143,32,True,0.3421242935351061,64,0.001294303262032753,1,4.4555231186862686e-05,,PRUNED
12,0.298235555489858,2026-03-29 16:35:22.816609,2026-03-29 16:35:31.809630,0 days 00:00:08.993021,16,True,0.46239500860735944,64,0.000599433621558233,1,4.8190664081275475e-05,0.9371196754563894,COMPLETE
13,0.3297733962535858,2026-03-29 16:35:31.809630,2026-03-29 16:35:39.243825,0 days 00:00:07.434195,32,True,0.4579178144028041,192,0.0010564615151250837,1,0.0009562655969451234,0.9269776876267748,COMPLETE
14,0.2921355068683624,2026-03-29 16:35:39.245826,2026-03-29 16:35:44.211799,0 days 00:00:04.965973,64,True,0.3248939743688466,128,0.0015766257044045207,2,6.73814545936218e-05,0.9371196754563894,COMPLETE
15,0.2872765560944875,2026-03-29 16:35:44.212800,2026-03-29 16:35:51.387575,0 days 00:00:07.174775,16,True,0.4124496121405841,64,0.0006464091293436123,1,2.465233025381007e-05,0.9513184584178499,COMPLETE
16,0.3550804406404495,2026-03-29 16:35:51.388573,2026-03-29 16:35:58.613886,0 days 00:00:07.225313,32,True,0.5290186209580022,192,0.0009681335310820558,1,0.00021063979781445145,0.9249492900608518,COMPLETE
