number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,state
0,0.5711368918418884,2026-03-16 21:37:26.605871,2026-03-16 21:37:33.993099,0 days 00:00:07.387228,32,False,0.28493564427131046,96,0.0011504753106625046,1,0.0002607024758370766,0.7999999999999999,COMPLETE
1,0.5768182426691055,2026-03-16 21:37:33.993099,2026-03-16 21:37:50.319279,0 days 00:00:16.326180,32,True,0.4056937753654446,192,0.0007496501097315302,1,5.4041038546473305e-05,0.8112903225806453,COMPLETE
2,0.6311538442969322,2026-03-16 21:37:50.319279,2026-03-16 21:38:02.028319,0 days 00:00:11.709040,16,True,0.39807076404450803,128,0.0007627211116577326,3,1.5679933916722995e-05,0.7935483870967742,COMPLETE
3,0.6039875820279121,2026-03-16 21:38:02.030322,2026-03-16 21:38:11.154658,0 days 00:00:09.124336,16,True,0.5687496940092467,96,0.0019174238140216384,2,0.0003550304858128307,0.8080645161290323,COMPLETE
4,0.5778233557939529,2026-03-16 21:38:11.154658,2026-03-16 21:38:26.429773,0 days 00:00:15.275115,32,True,0.5947547746402069,256,0.0007380901894391266,1,0.00012172847081122418,0.817741935483871,COMPLETE
5,0.5755270384252071,2026-03-16 21:38:26.429773,2026-03-16 21:39:17.579864,0 days 00:00:51.150091,16,True,0.22542334011440945,192,0.0008218411404269376,3,1.70505392602693e-05,0.8145161290322581,COMPLETE
6,0.5422228276729584,2026-03-16 21:39:17.579864,2026-03-16 21:39:45.336427,0 days 00:00:27.756563,16,False,0.37101640734341984,256,0.0014355166831664403,2,0.0001326033192269654,0.8435483870967742,COMPLETE
7,0.5156021118164062,2026-03-16 21:39:45.336427,2026-03-16 21:40:13.440567,0 days 00:00:28.104140,64,True,0.26448851490160175,192,0.000883171698312604,2,0.0003244160088734161,0.8693548387096774,COMPLETE
8,0.5513425543904305,2026-03-16 21:40:13.441570,2026-03-16 21:40:22.450462,0 days 00:00:09.008892,16,True,0.3708431154505025,64,0.0015314309403948435,1,0.0006197015748809143,0.8467741935483871,COMPLETE
9,0.5403327941894531,2026-03-16 21:40:22.451473,2026-03-16 21:40:29.373315,0 days 00:00:06.921842,32,False,0.5887128330883842,96,0.0018478138267043395,1,4.4300218067679785e-05,0.8193548387096774,COMPLETE
10,0.4825780689716339,2026-03-16 21:40:29.373315,2026-03-16 21:40:44.531186,0 days 00:00:15.157871,64,False,0.2062379198633824,192,0.0005126065261429245,2,0.0009044366299969405,0.8016129032258064,COMPLETE
11,0.48810580372810364,2026-03-16 21:40:44.533190,2026-03-16 21:40:59.731933,0 days 00:00:15.198743,64,False,0.21144118649403879,192,0.0005092956603864634,2,0.0008624009197392455,0.8806451612903224,COMPLETE
12,0.4331924021244049,2026-03-16 21:40:59.731933,2026-03-16 21:41:14.877955,0 days 00:00:15.146022,64,False,0.21803049013508732,192,0.000502976018682016,2,0.0008000864123560979,0.8274193548387097,COMPLETE
13,0.4607379138469696,2026-03-16 21:41:14.877955,2026-03-16 21:41:36.295974,0 days 00:00:21.418019,64,False,0.3128296234109106,192,0.0005101736806449998,3,0.000956890005185768,0.7806451612903227,COMPLETE
14,0.4732392132282257,2026-03-16 21:41:36.295974,2026-03-16 21:41:42.843773,0 days 00:00:06.547799,64,False,0.3076962492543036,64,0.0006130483553301984,3,0.00048404622972211787,0.7967741935483871,COMPLETE
15,0.5102992653846741,2026-03-16 21:41:42.843773,2026-03-16 21:41:49.940377,0 days 00:00:07.096604,64,False,0.3251013997319727,128,0.0006176870665911312,3,0.00020085027543459208,0.8048387096774194,COMPLETE
16,0.4836081862449646,2026-03-16 21:41:49.940377,2026-03-16 21:42:11.328958,0 days 00:00:21.388581,64,False,0.4650068393934398,192,0.0006153970850102364,3,0.0009875208226018143,0.8064516129032259,COMPLETE
17,0.5022243857383728,2026-03-16 21:42:11.328958,2026-03-16 21:42:26.721364,0 days 00:00:15.392406,64,False,0.25752003547403185,192,0.0010486167862405512,2,0.00045364784987278733,0.8338709677419355,COMPLETE
18,0.46432018280029297,2026-03-16 21:42:26.721364,2026-03-16 21:42:48.076266,0 days 00:00:21.354902,64,False,0.46661425572308757,192,0.0005675788020059529,3,6.446523228489946e-05,0.8193548387096774,COMPLETE
19,0.5794994831085205,2026-03-16 21:42:48.076266,2026-03-16 21:42:54.623336,0 days 00:00:06.547070,64,False,0.32813589410316674,128,0.0006758791216280479,2,0.00018766798603643228,0.8274193548387097,COMPLETE
20,0.47098177671432495,2026-03-16 21:42:54.625341,2026-03-16 21:43:01.060053,0 days 00:00:06.434712,64,False,0.24724162794039434,64,0.0012618889016637873,3,2.9880920724717516e-05,0.8370967741935484,COMPLETE
21,0.49114665389060974,2026-03-16 21:43:01.061053,2026-03-16 21:43:22.551863,0 days 00:00:21.490810,64,False,0.495384013957352,192,0.0005457311346074279,3,6.42900218497509e-05,0.8548387096774194,COMPLETE
22,0.4962661862373352,2026-03-16 21:43:22.561262,2026-03-16 21:43:44.202868,0 days 00:00:21.641606,64,False,0.47871515999323966,192,0.0005588391909179546,3,8.078320352814233e-05,0.8274193548387097,COMPLETE
23,0.4368414282798767,2026-03-16 21:43:44.202868,2026-03-16 21:44:05.634539,0 days 00:00:21.431671,64,False,0.4410431300718783,192,0.0005856024215060728,3,3.0210435488583123e-05,0.7774193548387097,COMPLETE
24,0.4427702724933624,2026-03-16 21:44:05.636541,2026-03-16 21:44:20.776958,0 days 00:00:15.140417,64,False,0.4148399048268065,192,0.000666716123605532,2,2.7305051666972597e-05,0.8806451612903226,COMPLETE
25,0.5102794766426086,2026-03-16 21:44:20.783520,2026-03-16 21:44:33.378110,0 days 00:00:12.594590,64,False,0.4253846276483054,256,0.0009288692630359282,2,2.672906705604833e-05,0.8258064516129032,COMPLETE
26,0.523423969745636,2026-03-16 21:44:33.379106,2026-03-16 21:44:48.456290,0 days 00:00:15.077184,64,False,0.4328437426424665,192,0.0006725900180566818,2,3.2417160858200286e-05,0.7774193548387097,COMPLETE
27,0.473680704832077,2026-03-16 21:44:48.466609,2026-03-16 21:45:03.570903,0 days 00:00:15.104294,64,False,0.5437884106748379,192,0.000659461285008327,2,1.0255310615890836e-05,0.8532258064516128,COMPLETE
28,0.47904932498931885,2026-03-16 21:45:03.570903,2026-03-16 21:45:18.931802,0 days 00:00:15.360899,64,False,0.5187987745185878,192,0.0005717099481859926,2,2.1462857367563235e-05,0.7870967741935484,COMPLETE
29,0.5577461123466492,2026-03-16 21:45:18.931802,2026-03-16 21:45:25.764615,0 days 00:00:06.832813,32,False,0.356031814582267,96,0.0008253356443296021,1,4.1281092928895265e-05,0.8080645161290323,COMPLETE
30,0.5778531134128571,2026-03-16 21:45:25.771293,2026-03-16 21:45:32.910603,0 days 00:00:07.139310,32,False,0.43629123266707553,128,0.0010623249097212644,2,1.0255480179291942e-05,0.8596774193548388,COMPLETE
31,0.4945331811904907,2026-03-16 21:45:32.910603,2026-03-16 21:45:54.455135,0 days 00:00:21.544532,64,False,0.2860207481359826,192,0.0005014485052101996,3,0.000649191620436862,0.8129032258064517,COMPLETE
32,0.526526153087616,2026-03-16 21:45:54.455135,2026-03-16 21:46:15.948373,0 days 00:00:21.493238,64,False,0.3850042444411416,192,0.0005985027427543328,3,1.6550609556897754e-05,0.8435483870967743,COMPLETE
33,0.4779631793498993,2026-03-16 21:46:15.948373,2026-03-16 21:46:31.226147,0 days 00:00:15.277774,64,False,0.41143961651704825,192,0.0007254177880394855,2,0.00065806025130884,0.8580645161290323,COMPLETE
34,0.5843133926391602,2026-03-16 21:46:31.226147,2026-03-16 21:46:46.381678,0 days 00:00:15.155531,64,False,0.3460524857988105,192,0.0005397037879921714,2,0.0002464124486861634,0.7645161290322581,COMPLETE
35,0.8888475932180882,2026-03-16 21:46:46.388298,2026-03-16 21:46:48.218952,0 days 00:00:01.830654,16,True,0.296320351451037,96,0.0006853914389644292,3,4.131576171646493e-05,,PRUNED
36,0.6078338623046875,2026-03-16 21:46:48.218952,2026-03-16 21:46:59.450584,0 days 00:00:11.231632,32,False,0.40844223952656744,256,0.0005332278140892743,1,9.815919704523369e-05,0.814516129032258,COMPLETE
37,0.49138614535331726,2026-03-16 21:46:59.460207,2026-03-16 21:47:39.941179,0 days 00:00:40.480972,64,True,0.23659236635420525,192,0.0007730492639890931,3,2.2123785058060387e-05,0.8935483870967742,COMPLETE
38,0.8281307704746723,2026-03-16 21:47:39.943181,2026-03-16 21:47:41.573209,0 days 00:00:01.630028,16,False,0.4464588729001659,64,0.0006438913233074114,2,0.000402571621411309,,PRUNED
39,0.5227857232093811,2026-03-16 21:47:41.575213,2026-03-16 21:48:21.881740,0 days 00:00:40.306527,64,True,0.3798822222895725,192,0.0005864335212853548,3,1.4095788404928802e-05,0.814516129032258,COMPLETE
40,0.585384726524353,2026-03-16 21:48:21.881740,2026-03-16 21:48:32.586424,0 days 00:00:10.704684,32,False,0.26658701374557836,192,0.0007135504236619386,1,0.0001454091464222328,0.8177419354838709,COMPLETE
41,0.5332973003387451,2026-03-16 21:48:32.588167,2026-03-16 21:48:54.041320,0 days 00:00:21.453153,64,False,0.4603533099010821,192,0.0005669464213288193,3,6.408787312702657e-05,0.7919354838709678,COMPLETE
42,0.5059555172920227,2026-03-16 21:48:54.045129,2026-03-16 21:49:15.538153,0 days 00:00:21.493024,64,False,0.517021123115672,192,0.0005025840983247224,3,5.3015064116881136e-05,0.7806451612903226,COMPLETE
43,0.48110073804855347,2026-03-16 21:49:15.538153,2026-03-16 21:49:37.166394,0 days 00:00:21.628241,64,False,0.3926616862283808,192,0.0005431602242863789,3,8.30980425780431e-05,0.7967741935483871,COMPLETE
44,1.2888649860396981,2026-03-16 21:49:37.167393,2026-03-16 21:49:44.037281,0 days 00:00:06.869888,16,False,0.48680572440087416,256,0.0006413736372220637,3,2.2270150998061838e-05,,PRUNED
45,0.5229594707489014,2026-03-16 21:49:44.037281,2026-03-16 21:49:50.909706,0 days 00:00:06.872425,64,True,0.4593637574849899,96,0.0005853976140038289,2,3.4265623673339e-05,0.817741935483871,COMPLETE
46,0.45227426290512085,2026-03-16 21:49:50.909706,2026-03-16 21:50:06.074961,0 days 00:00:15.165255,64,False,0.5084460389401878,192,0.0005302725888738946,2,5.0016338856466267e-05,0.8193548387096774,COMPLETE
47,0.5644134283065796,2026-03-16 21:50:06.085213,2026-03-16 21:50:12.698646,0 days 00:00:06.613433,64,False,0.5185904394416778,128,0.000520775632916821,2,0.0007628101251567599,0.8080645161290322,COMPLETE
48,0.44085362553596497,2026-03-16 21:50:12.698646,2026-03-16 21:50:28.192379,0 days 00:00:15.493733,64,False,0.22330840488961656,192,0.0007692906726535947,2,5.2078927935225165e-05,0.8370967741935483,COMPLETE
49,0.750955618917942,2026-03-16 21:50:28.193378,2026-03-16 21:50:32.454080,0 days 00:00:04.260702,16,False,0.5722194293671243,192,0.0008109432672216149,2,4.976536546019328e-05,,PRUNED
50,0.5968242883682251,2026-03-16 21:50:32.454080,2026-03-16 21:50:39.066572,0 days 00:00:06.612492,64,True,0.2051765407944535,64,0.0009045603494147754,2,3.6247737599270176e-05,0.8451612903225807,COMPLETE
51,0.4307403266429901,2026-03-16 21:50:39.066572,2026-03-16 21:50:54.362600,0 days 00:00:15.296028,64,False,0.2727247411313004,192,0.0006221618553960802,2,0.000534924904411936,0.8129032258064516,COMPLETE
52,0.5265907049179077,2026-03-16 21:50:54.362600,2026-03-16 21:51:09.508660,0 days 00:00:15.146060,64,False,0.2298160246515364,192,0.0007590053902913345,2,2.64713475961426e-05,0.8064516129032259,COMPLETE
53,0.43742483854293823,2026-03-16 21:51:09.508660,2026-03-16 21:51:24.754699,0 days 00:00:15.246039,64,False,0.21639126144060936,192,0.0006172778285494559,2,0.0005611047922251626,0.8661290322580645,COMPLETE
54,0.5191823244094849,2026-03-16 21:51:24.754699,2026-03-16 21:51:34.316774,0 days 00:00:09.562075,64,False,0.2153527575104622,192,0.0006278805421826841,1,0.0005253851083856339,0.8161290322580645,COMPLETE
55,0.5054532885551453,2026-03-16 21:51:34.316774,2026-03-16 21:51:49.525088,0 days 00:00:15.208314,64,False,0.27441683680214046,192,0.0006976743916911771,2,0.0003271233841491366,0.8274193548387097,COMPLETE
56,0.5092247128486633,2026-03-16 21:51:49.526097,2026-03-16 21:52:04.788284,0 days 00:00:15.262187,64,False,0.24877878001949957,192,0.0017198329904365211,2,0.00026798501921454374,0.8209677419354838,COMPLETE
57,0.4703248143196106,2026-03-16 21:52:04.797741,2026-03-16 21:52:20.150632,0 days 00:00:15.352891,64,False,0.22092811600841764,192,0.0007937850028173329,2,0.0007833212273764542,0.8806451612903226,COMPLETE
58,0.5219971537590027,2026-03-16 21:52:20.160988,2026-03-16 21:52:32.845001,0 days 00:00:12.684013,64,False,0.20203560703206344,256,0.000850777769674813,2,0.0004346973641423694,0.8290322580645162,COMPLETE
59,0.5816779136657715,2026-03-16 21:52:32.845001,2026-03-16 21:52:39.383775,0 days 00:00:06.538774,64,False,0.24085125762339693,128,0.0006073329122098026,2,0.0005510444575350608,0.867741935483871,COMPLETE
60,0.5633242726325989,2026-03-16 21:52:39.383775,2026-03-16 21:52:55.930943,0 days 00:00:16.547168,32,False,0.25602487102730903,192,0.0006356447387165769,2,0.000372104271895069,0.8096774193548387,COMPLETE
61,0.5671469569206238,2026-03-16 21:52:55.930943,2026-03-16 21:53:11.129758,0 days 00:00:15.198815,64,False,0.22744401776087184,192,0.0007352281192213481,2,4.719490871936321e-05,0.8451612903225806,COMPLETE
62,0.4491005539894104,2026-03-16 21:53:11.136772,2026-03-16 21:53:26.373168,0 days 00:00:15.236396,64,False,0.3607642601405093,192,0.0005615142427476243,2,0.00011233874505384923,0.7935483870967742,COMPLETE
63,0.5107957124710083,2026-03-16 21:53:26.373168,2026-03-16 21:53:41.612548,0 days 00:00:15.239380,64,False,0.27924137757195794,192,0.0006612095295462554,2,0.00017466910062293223,0.8306451612903226,COMPLETE
64,0.4171902537345886,2026-03-16 21:53:41.612548,2026-03-16 21:53:56.895572,0 days 00:00:15.283024,64,False,0.36223756698430554,192,0.0009654207599036165,2,1.3969090701438115e-05,0.8258064516129032,COMPLETE
65,0.5223142504692078,2026-03-16 21:53:56.897574,2026-03-16 21:54:12.171313,0 days 00:00:15.273739,64,False,0.322580883439807,192,0.0011691922133999408,2,1.3263632086453623e-05,0.8387096774193549,COMPLETE
66,0.4304278790950775,2026-03-16 21:54:12.177640,2026-03-16 21:54:18.516705,0 days 00:00:06.339065,64,False,0.41637282256823693,96,0.0009358655156950182,2,1.9428487722432425e-05,0.814516129032258,COMPLETE
67,0.49361559748649597,2026-03-16 21:54:18.516705,2026-03-16 21:54:24.972077,0 days 00:00:06.455372,64,False,0.3443835598926887,96,0.000979273387004771,2,1.8125658655454362e-05,0.7693548387096774,COMPLETE
68,0.4488457441329956,2026-03-16 21:54:24.972077,2026-03-16 21:54:31.394259,0 days 00:00:06.422182,64,False,0.2930053388913188,96,0.001022406170300778,2,1.3213938906380724e-05,0.8032258064516129,COMPLETE
69,0.4723701775074005,2026-03-16 21:54:31.394259,2026-03-16 21:54:37.816122,0 days 00:00:06.421863,64,False,0.21675623022595353,96,0.0009626916770392874,2,1.962965160802948e-05,0.8193548387096774,COMPLETE
70,1.0945037379860878,2026-03-16 21:54:37.816122,2026-03-16 21:54:39.527364,0 days 00:00:01.711242,16,True,0.4200015302092835,96,0.0008680847985815095,2,0.0007866861176012845,,PRUNED
