number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
46,0.6944704204797745,2026-03-06 19:24:23.713591,2026-03-06 19:24:34.130719,0 days 00:00:10.417128,16,False,0.3072715076688926,64,0.001378830778835,2,0.00066790459227,COMPLETE
37,0.6776979267597198,2026-03-06 19:22:30.253041,2026-03-06 19:22:42.993045,0 days 00:00:12.740004,16,False,0.2727701521041706,64,0.0011950357592105,3,9.273132128019524e-05,COMPLETE
5,0.6605058461427689,2026-03-06 19:14:41.795056,2026-03-06 19:15:43.935926,0 days 00:01:02.140870,16,True,0.2254233401144094,192,0.0008218411404269,3,1.70505392602693e-05,COMPLETE
50,0.6570222228765488,2026-03-06 19:24:56.868353,2026-03-06 19:25:07.468694,0 days 00:00:10.600341,16,False,0.2883292609648931,64,0.0019962103172818,3,0.0001878285825329,COMPLETE
6,0.6447160243988037,2026-03-06 19:15:43.936925,2026-03-06 19:16:16.496183,0 days 00:00:32.559258,16,False,0.3710164073434198,256,0.0014355166831664,2,0.0001326033192269,COMPLETE
