number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,state
10,0.5388339757919312,2026-03-25 18:11:15.285791,2026-03-25 18:11:23.050170,0 days 00:00:07.764379,64,False,0.4778751436886507,128,0.0005126065261429,3,1.0699098455538697e-05,0.8021505376344087,COMPLETE
0,0.5244549512863159,2026-03-25 18:07:45.906024,2026-03-25 18:07:54.001913,0 days 00:00:08.095889,32,False,0.2849356442713104,96,0.0011504753106625,1,0.000260702475837,0.7827956989247311,COMPLETE
40,0.5159846246242523,2026-03-25 18:17:10.424426,2026-03-25 18:17:18.312288,0 days 00:00:07.887862,32,False,0.4423811436920812,96,0.0015049549293042,1,0.0001716583322168,0.821505376344086,COMPLETE
30,0.5086068212985992,2026-03-25 18:15:20.306432,2026-03-25 18:15:28.628534,0 days 00:00:08.322102,32,False,0.3770855652660209,96,0.0014943291930047,3,1.260935410706447e-05,0.8709677419354838,COMPLETE
16,0.5005232095718384,2026-03-25 18:12:23.796434,2026-03-25 18:12:31.692493,0 days 00:00:07.896059,64,True,0.4288663744483644,64,0.000981854908641,3,6.380041718142659e-05,0.8774193548387097,COMPLETE
